seller_id,seller_state,seller_city,total_revenue,avg_review_score,total_orders,unique_categories,cluster,revenue_tier,hvc_aligned,ad_package,ad_credit_value_R$
0015a82c2db000af6aaaf3ae2ecb0532,SP,santo andre,2685.0,3.6666666666666665,3,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,143.0
001cca7ae9ae17fb1caed9dfb1094831,ES,cariacica,25080.03,3.853556485355648,200,2,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,7707.11
002100f778ceb8431b7a1020ff7ab48f,SP,franca,1234.5,3.981818181818182,51,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,2030.73
003554e2dce176b5555353e4f3555ac8,GO,goiania,120.0,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
004c9cd9d87a3c30c522c48c4fc07416,SP,ibitinga,19712.71,4.070588235294117,158,2,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,6431.53
00720abe85ba0859807595bbf045a33b,SP,guarulhos,1007.5,3.6538461538461537,13,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,475.0
00ab3eff1b5192e5f1a63bcecfee11c8,SP,sao paulo,98.0,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
00d8b143d12632bad99c0ad66ad52825,MG,belo horizonte,86.0,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
00ee68308b45bc5e2660cd833c3f81cc,SP,sao paulo,20260.0,4.3023255813953485,135,2,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,5808.14
00fc707aaaad2d31347cf883cd2dfe10,PR,maringa,12684.9,3.762962962962963,103,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,3875.85
010543a62bd80aa422851e79a3bc7540,SP,sao paulo,1416.0,4.5,2,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,117.0
010da0602d7774602cd1b3f5fb7b709e,SP,sao bernardo do campo,849.5,1.0,1,1,0,Growth,0,Featured product slots | Keyword-targeted display ads | Enhanced analytics | Category targeting,10.0
011b0eaba87386a2ae96a7d32bb531d1,SP,pompeia,99.98,4.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,40.0
01266d4c46afa519678d16a8b683d325,PR,curitiba,90.25,5.0,3,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,150.0
013900e863eace745d3ec7614cab5b1a,PR,curitiba,1619.7,4.730769230769231,23,3,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1088.08
014c0679dd340a0e338872e7ec85666a,MG,timoteo,7058.0,3.6666666666666665,14,3,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,667.33
014d9a685fd57276679edd00e07089e5,PR,maringa,729.88,3.8333333333333335,11,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,421.67
0176f73cc1195f367f7b32db1e5b3aa8,SP,ibitinga,4733.1,4.0256410256410255,38,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1529.74
01bcc9d254a0143f0ce9791b960b2a47,GO,uruacu,1521.21,4.0,11,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,440.0
01c97ebb5cdac52891c0ed1c37ba0012,SP,catanduva,577.5,4.083333333333333,9,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,367.5
01cf7e3d21494c41fb86034f2e714fa1,PR,francisco beltrao,9729.36,4.149253731343284,61,9,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,2531.04
01ed254b9ff8407dfb9d99ba1e17d923,SP,mogi das cruzes,1465.99,5.0,5,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,325.0
01fd077212124329bac32490e8ef80d9,SP,ribeirao preto / sao paulo,1208.0,4.3076923076923075,31,7,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1335.38
01fdefa7697d26ad920e9e0346d4bd1b,PR,londrina,14921.43,4.312977099236641,129,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,5563.74
0241d4d5d36f10f80c644447315af0bd,PR,curitiba,31397.7,4.288617886178862,238,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,10206.91
0249d282d911d23cb8b869ab49c99f53,SP,sao paulo,393.0,4.2727272727272725,11,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,470.0
024b564ae893ce8e9bfa02c10a401ece,SP,sao paulo,706.4000000000001,4.75,2,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,95.0
028872bfa080090a9d0abd4f1af168f8,MG,ribeirao das neves,70.5,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
02b72cdeb9cfcc429f1af6f4e3f3b737,SP,ibitinga,522.65,4.75,4,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,190.0
02c988090b766852e088c69d7fb3b551,SP,americana,1618.65,4.411764705882353,13,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,573.53
02d35243ea2e497335cd0f076b45675d,RN,natal,5794.0,2.6875,14,1,0,Growth,1,Featured product slots | Keyword-targeted display ads | Enhanced analytics | Category targeting,489.12
02dcd3e8e25bee036e32512bcf175493,MG,contagem,1491.9,3.588235294117647,14,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,502.35
02ecc2a19303f05e59ce133fd923fff7,SP,santo andre,5264.19,4.541666666666667,21,3,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1239.88
02f5837340d7eb4f653d676c7256523a,PR,curitiba,3883.05,4.833333333333333,30,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1450.0
02f623a8eb246f3c5f7c2f96462654e6,SP,botucatu,6378.0,4.454545454545454,44,2,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,1960.0
0307f7565ff85b299b6e5ef162b1b1a9,SP,sao jose do rio preto,4711.9,3.5,6,3,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,273.0
0336182e1b3e92f029d5354832045fdf,SP,ibitinga,29.8,2.0,1,1,0,Growth,0,Featured product slots | Keyword-targeted display ads | Enhanced analytics | Category targeting,20.0
034b9387752bfa309f350a70cd45ffa3,SC,blumenau,96.0,4.5,8,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,360.0
038b75b729c8a9a04b0d07cba7eabe86,SP,sao jose dos campos,467.0,3.5,2,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,91.0
039b29ff3b3473435d0cd59040575de9,SP,ribeirao pires,114.9,4.444444444444445,9,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,400.0
039e6ad9dae79614493083e241147386,SP,sao paulo,12925.0,4.0,5,1,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,260.0
03a2a6dcbe45d639c4dc2a0d24769c40,SP,maua,1078.41,4.111111111111111,9,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,370.0
03bd479e1d9484cdb14104d3023f7321,MG,uberlandia,359.70000000000005,4.333333333333333,3,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,130.0
0417b067eeab773d2f7061a726dc477f,SC,sao bento do sul,1859.18,3.923076923076923,13,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,510.0
042573af89b6d931f672efaf789d8358,SP,sorocaba,413.48,3.6666666666666665,3,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,110.0
04308b1ee57b6625f47df1d56f00eedf,SC,bombinhas,60130.6,3.882978723404255,94,1,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,4745.0
0432ead42b6c8a0bdf68154add917fdf,SP,maua,7574.400000000001,4.551724137931035,82,3,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,3732.41
044668ccd5316b12a7cf0d54a156e3e9,SP,osasco,137.8,5.0,3,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,150.0
04843805947f0fc584fc1969b6e50fe7,RS,ivoti,1400.0,5.0,1,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,65.0
048c2757535328e0d7dac690ad3c0aae,SP,franca,9264.78,4.098039215686274,51,1,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,2717.0
04aa0a1c5ce6b222003403a3e11c3cc0,SP,cosmopolis,5518.0,3.5294117647058822,11,2,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,504.71
04aba03279157f6d4e0fe8ccaf21963c,RJ,santo antonio de padua,2575.9,4.3125,16,1,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,690.0
04e38a233f726ef161074ab1c9b0399a,SP,sao paulo,1352.2,3.7857142857142856,23,3,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,870.71
04ee0ec01589969663ba5967c0e0bdc0,RS,lajeado,289.49,5.0,1,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,65.0
04fdea0c111866e6cf812f1570d6b5bd,SP,sao paulo,865.0,3.5,8,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,280.0
0509040ea3fe50071181bbc359eb7738,MG,belo horizonte,3737.95,4.408163265306122,89,3,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,3923.27
052577151711aec5c744fe12e66db3e1,SC,rodeio,687.0,5.0,1,1,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,65.0
054694fa03fe82cec4b7551487331d74,SP,itajobi,9983.1,3.363636363636364,21,4,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,918.27
056b4ada5bbc2c50cc7842547dda6b51,RJ,queimados,12333.39,4.0606060606060606,65,2,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,3431.21
0570350b23eda5444f8d1d9544932058,SP,sao paulo,626.9,5.0,6,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,300.0
05730013efda596306417c3b09302475,SC,criciuma,952.0,5.0,4,2,2,Starter,1,Basic product listing | Onboarding analytics dashboard | Category page placement,260.0
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,rio de janeiro,1328.0,3.3846153846153846,12,1,0,Growth,0,Featured product slots | Keyword-targeted display ads | Enhanced analytics | Category targeting,406.15
058fd0aa2bfdb2274e05e1ae971dabb6,SP,santo andre,7667.9,4.390625,61,2,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,2678.28
05a48cc8859962767935ab9087417fbb,SP,sao paulo,42.9,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
05a940b4ecae36cadfd8e93bd9c43257,GO,goiania,695.1,4.222222222222222,9,3,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,380.0
05aebce0b5c8f0d41b29b686f2d05fd3,SP,sao paulo,74.99000000000001,5.0,2,2,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,100.0
05ca864204d09595ae591b93ea9cf93d,SP,barueri,179.9,5.0,1,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,50.0
05d2173d43ea568aa0540eba70d2ca76,MG,alfenas,5759.66,3.878787878787879,62,3,1,Premium,0,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,2404.85
05e107217c7266362fd44b75b2cd4cc4,SP,sao paulo - sp,193.38,4.125,5,1,2,Starter,0,Basic product listing | Onboarding analytics dashboard | Category page placement,206.25
05f51e13da97139648b8125c31e5f51b,MG,belo horizonte,13480.21,4.19672131147541,58,2,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,3164.33
05feb94f19d094d4b0f9281f0b1d4c99,SP,mogi das cruzes,9353.0,4.5,6,2,1,Premium,1,Banner ads | HVC segment targeting | Cross-sell placements | Dedicated account manager | Priority in watches/health_beauty/computers,351.0
