"customer_unique_id","product_category_en","order_count","total_spend","updated_at"
"0004aac84e0df4da2b147fca70cf8255","telephony",1,180,"2026-05-28 06:44:32"
"00053a61a98854899e70ed204dd4bafe","sports_leisure",2,382,"2026-05-28 06:44:32"
"000de6019bb59f34c099a907c151d855","bed_bath_table",2,229.8,"2026-05-28 06:44:32"
"000fbf0473c10fc1ab6f8d2d286ce20c","musical_instruments",2,239.74,"2026-05-28 06:44:32"
"000fbf0473c10fc1ab6f8d2d286ce20c","toys",2,46.06,"2026-05-28 06:44:32"
"0010a452c6d13139e50b57f19f52e04e","home_confort",1,299,"2026-05-28 06:44:32"
"001147e649a7b1afd577e873841632dd","housewares",2,170,"2026-05-28 06:44:32"
"0011805441c0d1b68b48002f1d005526","computers_accessories",1,269,"2026-05-28 06:44:32"
"0011857aff0e5871ce5eb429f21cdaf5","luggage_accessories",1,174.33,"2026-05-28 06:44:32"
"0019e8c501c85848ac0966d45226fa1d","sports_leisure",1,159.99,"2026-05-28 06:44:32"
"002043098f10ba39a4600b6c52fbfe3c","office_furniture",1,176.99,"2026-05-28 06:44:32"
"0025795df7a7d077c4c90162fa820085","stationery",2,177.9,"2026-05-28 06:44:32"
"0028a7d8db7b0247652509358ad8d755","office_furniture",1,274,"2026-05-28 06:44:32"
"00293787e2aec37a9c253b63fdfe2049","health_beauty",2,237.8,"2026-05-28 06:44:32"
"002aba8c1af80acacef6e011f9f23262","construction_tools_construction",1,199.9,"2026-05-28 06:44:32"
"002ae492472e45ad6ebeb7a625409392","health_beauty",2,103.98,"2026-05-28 06:44:32"
"002cdf87d4c03f08f7eb4551a923affc","office_furniture",1,196.99,"2026-05-28 06:44:32"
"003162bf0351f47a1a247992b8b9b42d","books_general_interest",1,514.9,"2026-05-28 06:44:32"
"0033f4a2887e07e25aa1204d482f41ba","cool_stuff",1,350,"2026-05-28 06:44:32"
"00344274804f3b8003de1b0562ae01df","health_beauty",1,188,"2026-05-28 06:44:32"
"0035029989e6fc5cf030918a5f9f2037","luggage_accessories",2,438,"2026-05-28 06:44:32"
"00370dfde3d012c420d29657afc2fc8b","cool_stuff",1,215,"2026-05-28 06:44:32"
"0037aa56b017c105c3a9d47af71fff98","auto",1,425,"2026-05-28 06:44:32"
"0037eb1ff742ee2e71ba887f65f3c6f3","housewares",1,199,"2026-05-28 06:44:32"
"003ae409f37c3c30cb1c974af3a42692","pet_shop",1,195,"2026-05-28 06:44:32"
"003db7adfcdc49857b095a50191b6c9d","books_general_interest",1,524.9,"2026-05-28 06:44:32"
"004177f7bf62929186b32c7fdaa6157b","office_furniture",2,393.98,"2026-05-28 06:44:32"
"004256f082951ec189a4962b6788c214","telephony",1,245,"2026-05-28 06:44:32"
"004288347e5e88a27ded2bb23747066c","cool_stuff",1,229.99,"2026-05-28 06:44:32"
"004288347e5e88a27ded2bb23747066c","luggage_accessories",1,87.9,"2026-05-28 06:44:32"
"004df63539fd5e38d4b0a0506de7549c","watches_gifts",1,949.99,"2026-05-28 06:44:32"
"004f84d065096f3cedd26cf0adc80b9d","office_furniture",2,159.98,"2026-05-28 06:44:32"
"00504b68faa074d0f40adcb4f7727f71","bed_bath_table",2,152,"2026-05-28 06:44:32"
"005226be8d5b972d0f72b4e8a79f322b","home_appliances_2",1,1561,"2026-05-28 06:44:32"
"0055b522bc89cbfbf376d8b59a628470","small_appliances",1,328,"2026-05-28 06:44:32"
"005754cb59f8ee5cdbb5cda9d138757e","health_beauty",2,220.64,"2026-05-28 06:44:32"
"005ee3e015ec18092d7782e507cf68fe","sports_leisure",1,159.99,"2026-05-28 06:44:32"
"005f060d4223956c62b64e9567a36f0f","watches_gifts",1,689,"2026-05-28 06:44:32"
"005f6fa02633470267dcd1e3ecd0fa79","furniture_decor",1,199.99,"2026-05-28 06:44:32"
"005ff4ebe100db3eebbe6f7b19a8f99a","office_furniture",1,199.9,"2026-05-28 06:44:32"
"006031108b00e5f73b2426a50b50f9c0","bed_bath_table",1,189.9,"2026-05-28 06:44:32"
"0064a1b5f5cddd047c987b988a90c8c1","garden_tools",4,215.6,"2026-05-28 06:44:32"
"0067d2652c12515146721538868bbd80","baby",1,169.9,"2026-05-28 06:44:32"
"006ab6f5e82340e927757563a9fbe7e4","toys",2,267.2,"2026-05-28 06:44:32"
"006e937bd5a5e32043018a6d1521b5d5","telephony",1,189.9,"2026-05-28 06:44:32"
"00728bae3dec9c16b2193ab7e3195eb7","watches_gifts",1,194.9,"2026-05-28 06:44:32"
"0074a1d3f1995ff0538dc7197500973c","office_furniture",1,599,"2026-05-28 06:44:32"
